displayName,rating,userRatingCount,types,websiteUri,nationalPhoneNumber,formattedAddress,googleMapsUri,name,id,primaryType,priceLevel,utcOffsetMinutes,editorialSummary
Brian D Henderson CPA PA,16,3,consultant|accounting|finance|point_of_interest|,,(828) 505-3963,"107 Merrimon Ave STE 120, Asheville, NC 28801, USA",https://maps.google.com/?cid=11450551145491274370,places/ChIJV4H1Z1bzWYgRghpzZZmH6J4,ChIJV4H1Z1bzWYgRghpzZZmH6J4,consultant,,-240,
Brian D Henderson CPA PA,17,3,consultant|accounting|finance|point_of_interest|,,(828) 505-3963,"107 Merrimon Ave STE 120, Asheville, NC 28801, USA",https://maps.google.com/?cid=11450551145491274370,places/ChIJV4H1Z1bzWYgRghpzZZmH6J4,ChIJV4H1Z1bzWYgRghpzZZmH6J4,consultant,,-240,
Brian D Henderson CPA PA,18,3,consultant|accounting|finance|point_of_interest|,,(828) 505-3963,"107 Merrimon Ave STE 120, Asheville, NC 28801, USA",https://maps.google.com/?cid=11450551145491274370,places/ChIJV4H1Z1bzWYgRghpzZZmH6J4,ChIJV4H1Z1bzWYgRghpzZZmH6J4,consultant,,-240,
Brian D Henderson CPA PA,19,3,consultant|accounting|finance|point_of_interest|,,(828) 505-3963,"107 Merrimon Ave STE 120, Asheville, NC 28801, USA",https://maps.google.com/?cid=11450551145491274370,places/ChIJV4H1Z1bzWYgRghpzZZmH6J4,ChIJV4H1Z1bzWYgRghpzZZmH6J4,consultant,,-240,
Brian D Henderson CPA PA,20,3,consultant|accounting|finance|point_of_interest|,,(828) 505-3963,"107 Merrimon Ave STE 120, Asheville, NC 28801, USA",https://maps.google.com/?cid=11450551145491274370,places/ChIJV4H1Z1bzWYgRghpzZZmH6J4,ChIJV4H1Z1bzWYgRghpzZZmH6J4,consultant,,-240,
Brian D Henderson CPA PA,21,3,consultant|accounting|finance|point_of_interest|,,(828) 505-3963,"107 Merrimon Ave STE 120, Asheville, NC 28801, USA",https://maps.google.com/?cid=11450551145491274370,places/ChIJV4H1Z1bzWYgRghpzZZmH6J4,ChIJV4H1Z1bzWYgRghpzZZmH6J4,consultant,,-240,
Brian D Henderson CPA PA,22,3,consultant|accounting|finance|point_of_interest|,,(828) 505-3963,"107 Merrimon Ave STE 120, Asheville, NC 28801, USA",https://maps.google.com/?cid=11450551145491274370,places/ChIJV4H1Z1bzWYgRghpzZZmH6J4,ChIJV4H1Z1bzWYgRghpzZZmH6J4,consultant,,-240,
Brian D Henderson CPA PA,23,3,consultant|accounting|finance|point_of_interest|,,(828) 505-3963,"107 Merrimon Ave STE 120, Asheville, NC 28801, USA",https://maps.google.com/?cid=11450551145491274370,places/ChIJV4H1Z1bzWYgRghpzZZmH6J4,ChIJV4H1Z1bzWYgRghpzZZmH6J4,consultant,,-240,
Brian D Henderson CPA PA,24,3,consultant|accounting|finance|point_of_interest|,,(828) 505-3963,"107 Merrimon Ave STE 120, Asheville, NC 28801, USA",https://maps.google.com/?cid=11450551145491274370,places/ChIJV4H1Z1bzWYgRghpzZZmH6J4,ChIJV4H1Z1bzWYgRghpzZZmH6J4,consultant,,-240,
Brian D Henderson CPA PA,25,3,consultant|accounting|finance|point_of_interest|,,(828) 505-3963,"107 Merrimon Ave STE 120, Asheville, NC 28801, USA",https://maps.google.com/?cid=11450551145491274370,places/ChIJV4H1Z1bzWYgRghpzZZmH6J4,ChIJV4H1Z1bzWYgRghpzZZmH6J4,consultant,,-240,
